element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
99,8,7,9,True,2024-08-18T13:00:00Z,2,1,1,89,1,0,0,1,0,0,0,0,0,0,2,35,40.8,50.2,17.0,10.8,70,0,360975,0,0,1,0.09,0.45,0.54,1.17
99,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,90,0,0,0,2,0,0,0,1,0,0,0,6,5.4,17.7,7.0,3.0,70,23925,449513,61882,37957,1,0.03,0.12,0.15,2.65
99,22,17,14,True,2024-08-31T14:00:00Z,3,1,3,90,2,0,0,1,0,0,0,1,0,0,3,64,82.8,41.0,54.0,17.8,70,125074,603697,210412,85338,1,0.81,0.34,1.15,1.57
99,37,13,2,False,2024-09-14T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,12,9.4,49.1,11.0,7.0,71,184014,817384,374751,190737,1,0.19,0.35,0.54,2.17
100,8,7,1,True,2024-08-18T13:00:00Z,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,45,0,79075,0,0,0,0.00,0.00,0.00,0.00
100,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7665,78481,1724,9389,0,0.00,0.00,0.00,0.00
100,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6559,74216,3603,10162,0,0.00,0.00,0.00,0.00
100,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-10459,64623,2535,12994,0,0.00,0.00,0.00,0.00
101,8,7,2,True,2024-08-18T13:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,17.8,12.3,0.0,3.0,50,0,11239,0,0,1,0.00,0.01,0.01,1.17
101,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,90,0,0,0,2,0,0,0,1,0,0,0,7,7.2,4.1,4.0,1.5,50,-642,12265,760,1402,1,0.10,0.02,0.12,2.65
101,22,17,2,True,2024-08-31T14:00:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,0,0,16,17.2,12.9,11.0,4.1,50,-511,12378,1325,1836,1,0.27,0.01,0.28,1.57
101,37,13,2,False,2024-09-14T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,24,24.6,17.9,2.0,4.5,50,-1218,11516,818,2036,1,0.00,0.03,0.03,2.17
102,8,7,1,True,2024-08-18T13:00:00Z,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,50,0,3770,0,0,0,0.00,0.00,0.00,0.56
102,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,17,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.0,50,-493,3946,190,683,0,0.00,0.02,0.02,0.13
102,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-300,3926,458,758,0,0.00,0.00,0.00,0.00
102,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1379,2531,0,1379,0,0.00,0.00,0.00,0.00
103,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,4262,0,0,0,0.00,0.00,0.00,0.00
103,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-217,4813,355,572,0,0.00,0.00,0.00,0.00
103,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-252,4864,558,810,0,0.00,0.00,0.00,0.00
103,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1323,3507,0,1323,0,0.00,0.00,0.00,0.00
104,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,90,0,0,0,1,1,0,0,0,0,0,0,3,18.8,0.1,17.0,3.6,45,0,37981,0,0,1,0.01,0.00,0.01,1.17
104,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,7,15.4,0.2,0.0,1.6,45,-3924,37415,1160,5084,1,0.00,0.00,0.00,2.65
104,22,17,1,True,2024-08-31T14:00:00Z,3,1,3,90,0,0,0,1,0,0,0,1,0,0,0,9,17.2,0.8,2.0,2.0,45,2895,42821,7170,4275,1,0.00,0.01,0.01,1.57
104,37,13,1,False,2024-09-14T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,12,23.4,0.6,51.0,7.5,45,-4901,38340,2968,7869,1,0.22,0.03,0.25,2.17
105,8,7,2,True,2024-08-18T13:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,4,7.6,1.2,0.0,0.9,45,0,8169,0,0,1,0.00,0.00,0.00,1.17
105,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,-1,5.4,1.4,3.0,1.0,45,-619,9080,269,888,1,0.01,0.00,0.01,2.65
105,22,17,1,True,2024-08-31T14:00:00Z,3,1,3,51,0,0,0,1,0,0,0,0,0,0,0,2,8.6,11.6,4.0,2.4,45,2409,12800,3844,1435,0,0.00,0.18,0.18,0.70
105,37,13,1,False,2024-09-14T14:00:00Z,2,1,4,18,0,0,0,0,0,0,0,0,0,0,0,3,2.6,0.6,2.0,0.5,45,-2757,10204,259,3016,0,0.00,0.00,0.00,1.09
106,8,7,2,True,2024-08-18T13:00:00Z,2,1,1,73,0,0,0,1,0,0,0,0,0,0,0,-2,6.8,0.9,8.0,1.6,55,0,6235,0,0,1,0.13,0.01,0.14,0.50
106,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,17,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,0.0,0.1,55,-607,6818,374,981,0,0.00,0.00,0.00,0.13
106,22,17,6,True,2024-08-31T14:00:00Z,3,1,3,74,0,1,1,0,0,0,0,0,0,0,0,16,5.4,13.3,27.0,4.6,55,-571,6776,544,1115,1,0.23,0.00,0.23,1.04
106,37,13,1,False,2024-09-14T14:00:00Z,2,1,4,45,0,0,0,0,0,0,0,0,0,0,0,8,8.4,12.0,2.0,2.2,55,-364,7320,795,1159,0,0.00,0.02,0.02,1.49
107,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,3171,0,0,0,0.00,0.00,0.00,0.00
107,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-878,2479,77,955,0,0.00,0.00,0.00,0.00
107,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-385,2162,95,480,0,0.00,0.00,0.00,0.00
107,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-249,1977,105,354,0,0.00,0.00,0.00,0.00
108,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,809422,0,0,0,0.00,0.00,0.00,0.00
108,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-282801,581058,19997,302798,0,0.00,0.00,0.00,0.00
108,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-207922,389098,23379,231301,0,0.00,0.00,0.00,0.00
108,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-190136,202713,0,190136,0,0.00,0.00,0.00,0.00
109,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,372148,0,0,0,0.00,0.00,0.00,0.00
109,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3965,395031,11418,7453,0,0.00,0.00,0.00,0.00
109,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,16908,419186,39613,22705,0,0.00,0.00,0.00,0.00
109,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-20916,399710,20372,41288,0,0.00,0.00,0.00,0.00
110,8,7,11,True,2024-08-18T13:00:00Z,2,1,1,83,1,1,0,1,0,0,0,1,0,0,3,47,50.2,14.2,44.0,10.8,60,0,232431,0,0,1,1.00,0.01,1.01,0.61
110,16,12,2,False,2024-08-25T15:30:00Z,2,0,2,72,0,0,0,2,0,0,0,0,0,0,0,7,5.0,0.8,2.0,0.8,60,104855,417530,135516,30661,1,0.00,0.01,0.01,2.52
110,22,17,8,True,2024-08-31T14:00:00Z,3,1,3,90,1,0,0,1,0,0,0,0,0,0,2,36,41.2,37.1,69.0,14.7,61,271078,738698,368334,97256,1,1.09,0.25,1.34,1.57
110,37,13,7,False,2024-09-14T14:00:00Z,2,1,4,45,1,0,0,2,0,0,0,0,0,0,2,31,33.8,4.8,35.0,7.4,61,29193,769897,223277,194084,1,0.34,0.00,0.34,0.68
111,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,263488,0,0,0,0.00,0.00,0.00,0.00
111,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-12458,266565,12619,25077,0,0.00,0.00,0.00,0.00
111,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-18867,253514,19945,38812,0,0.00,0.00,0.00,0.00
111,37,13,1,False,2024-09-14T14:00:00Z,2,1,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,1.0,0.0,45,-18240,240167,22222,40462,0,0.04,0.00,0.04,0.00
112,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,5300,0,0,0,0.00,0.00,0.00,0.00
112,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2084,3173,0,2084,0,0.00,0.00,0.00,0.00
112,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-722,2486,0,722,0,0.00,0.00,0.00,0.00
112,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-417,2075,0,417,0,0.00,0.00,0.00,0.00
314,8,7,1,True,2024-08-18T13:00:00Z,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.3,0.0,0.3,50,0,130410,0,0,0,0.00,0.00,0.00,0.56
314,16,12,1,False,2024-08-25T15:30:00Z,2,0,2,24,0,0,0,1,0,0,0,0,0,0,0,2,0.6,1.7,2.0,0.4,50,-9867,127341,6717,16584,0,0.00,0.01,0.01,0.67
314,22,17,1,True,2024-08-31T14:00:00Z,3,1,3,8,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.8,11.0,1.3,49,-19056,109700,6383,25439,0,0.08,0.00,0.08,0.41
314,37,13,1,False,2024-09-14T14:00:00Z,2,1,4,18,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.1,0.0,0.2,49,-21195,89847,7469,28664,0,0.00,0.00,0.00,1.09
338,4,10,0,False,2024-08-17T11:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,32790,0,0,0,0.00,0.00,0.00,0.00
338,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,7872,49721,13247,5375,0,0.00,0.00,0.00,0.00
338,22,17,1,True,2024-08-31T14:00:00Z,3,1,3,15,0,0,0,1,0,0,0,0,0,0,0,-3,0.6,0.1,0.0,0.1,40,18632,74614,27904,9272,0,0.00,0.01,0.01,0.53
338,37,13,1,False,2024-09-14T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,10,15.2,0.9,2.0,1.8,40,15496,93946,27490,11994,1,0.00,0.00,0.00,2.17
602,8,7,0,True,2024-08-18T13:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,2327,0,0,0,0.00,0.00,0.00,0.00
602,16,12,0,False,2024-08-25T15:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,259,4029,733,474,0,0.00,0.00,0.00,0.00
602,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,230,4837,1069,839,0,0.00,0.00,0.00,0.00
602,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,410,5770,1427,1017,0,0.00,0.00,0.00,0.00
634,22,17,0,True,2024-08-31T14:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,38,83,43,5,0,0.00,0.00,0.00,0.00
634,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,63,394,152,89,0,0.00,0.00,0.00,0.00
649,37,13,0,False,2024-09-14T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,502,1200,652,150,0,0.00,0.00,0.00,0.00
113,3,8,6,False,2024-08-17T14:00:00Z,0,3,1,45,1,0,0,0,0,0,0,0,0,0,0,24,39.6,6.5,26.0,7.2,55,0,42304,0,0,0,0.17,0.05,0.22,0.21
113,13,14,4,True,2024-08-24T11:30:00Z,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,14,15.2,10.8,9.0,3.5,55,20093,78578,28196,8103,0,0.09,0.56,0.65,0.10
113,21,1,1,False,2024-08-31T11:30:00Z,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.1,55,11905,95769,33475,21570,0,0.00,0.01,0.01,0.00
113,33,10,1,True,2024-09-14T14:00:00Z,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,2,2.2,1.6,4.0,0.8,55,4769,104017,27664,22895,0,0.03,0.01,0.04,0.14
114,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,744,0,0,0,0.00,0.00,0.00,0.00
114,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-173,563,0,173,0,0.00,0.00,0.00,0.00
114,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-109,457,0,109,0,0.00,0.00,0.00,0.00
114,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-70,394,0,70,0,0.00,0.00,0.00,0.00
115,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3519,0,0,0,0.00,0.00,0.00,0.00
115,13,14,1,True,2024-08-24T11:30:00Z,2,1,2,17,0,0,0,0,0,0,0,0,0,0,0,8,3.6,0.9,0.0,0.5,50,-492,3809,293,785,0,0.00,0.00,0.00,0.10
115,21,1,2,False,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,10,7.8,12.8,7.0,2.8,50,-230,4002,463,693,1,0.18,0.03,0.21,2.08
115,33,10,3,True,2024-09-14T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,0,21,17.4,17.6,18.0,5.3,50,972,5625,1797,825,1,0.20,0.04,0.24,0.35
116,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,2127451,0,0,0,0.00,0.00,0.00,0.00
116,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-257283,1927993,34238,291521,0,0.00,0.00,0.00,0.00
116,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-556818,1366339,16,556834,0,0.00,0.00,0.00,0.00
116,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-345115,1030471,0,345115,0,0.00,0.00,0.00,0.00
118,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,13388,0,0,0,0.00,0.00,0.00,0.00
118,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1057,13322,655,1712,0,0.00,0.00,0.00,0.00
118,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1889,11741,905,2794,0,0.00,0.00,0.00,0.00
118,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3694,7998,0,3694,0,0.00,0.00,0.00,0.00
119,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2851,0,0,0,0.00,0.00,0.00,0.00
119,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-489,3002,131,620,0,0.00,0.00,0.00,0.00
119,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-427,2807,249,676,0,0.00,0.00,0.00,0.00
119,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-854,1940,0,854,0,0.00,0.00,0.00,0.00
120,3,8,6,False,2024-08-17T14:00:00Z,0,3,1,75,0,0,1,0,0,0,0,0,0,0,0,23,7.0,0.3,6.0,1.3,45,0,367736,0,0,1,0.07,0.00,0.07,0.45
120,13,14,2,True,2024-08-24T11:30:00Z,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,16.2,11.1,0.0,2.7,45,28927,462381,50113,21186,1,0.00,0.01,0.01,1.43
120,21,1,2,False,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,17,30.4,39.9,2.0,7.2,45,33047,516904,87965,54918,1,0.00,0.23,0.23,2.08
120,33,10,6,True,2024-09-14T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,0,26,10.4,1.3,2.0,1.4,45,252279,810117,334678,82399,1,0.09,0.01,0.10,0.35
121,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,6559,0,0,0,0.00,0.00,0.00,0.00
121,13,14,1,True,2024-08-24T11:30:00Z,2,1,2,11,0,0,0,0,0,0,0,0,0,0,0,2,0.0,4.4,3.0,0.6,54,-2044,4634,74,2118,0,0.03,0.00,0.03,0.10
121,21,1,1,False,2024-08-31T11:30:00Z,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,6,6.4,24.7,0.0,3.1,54,1271,6935,2346,1075,0,0.00,0.11,0.11,0.00
121,33,10,1,True,2024-09-14T14:00:00Z,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,6,7.2,13.0,7.0,2.7,54,1066,8797,2492,1426,0,0.05,0.01,0.06,0.14
122,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,9056,0,0,0,0.00,0.00,0.00,0.00
122,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-913,10409,787,1700,0,0.00,0.00,0.00,0.00
122,21,1,1,False,2024-08-31T11:30:00Z,1,1,3,18,0,0,0,0,0,0,0,0,0,0,0,5,3.8,33.7,8.0,4.6,50,1640,14157,4181,2541,0,0.04,0.07,0.11,0.94
122,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,29961,53033,39256,9295,0,0.00,0.00,0.00,0.00
123,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,9342,0,0,0,0.00,0.00,0.00,0.00
123,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-958,10259,747,1705,0,0.00,0.00,0.00,0.00
123,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,80,11380,1956,1876,0,0.00,0.00,0.00,0.00
123,33,10,1,True,2024-09-14T14:00:00Z,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,55,3690,17654,6554,2864,0,0.06,0.00,0.06,0.00
124,3,8,1,False,2024-08-17T14:00:00Z,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,4,0.4,7.6,0.0,0.8,50,0,14848,0,0,0,0.00,0.00,0.00,0.00
124,13,14,2,True,2024-08-24T11:30:00Z,2,1,2,89,0,0,0,1,0,0,0,0,0,0,0,17,11.0,4.3,2.0,1.7,50,-1693,14953,550,2243,1,0.08,0.04,0.12,1.32
124,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1335,14605,2090,3425,0,0.00,0.00,0.00,0.00
124,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6920,7572,0,6920,0,0.00,0.00,0.00,0.00
125,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,10739,0,0,0,0.00,0.00,0.00,0.00
125,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-4814,5818,0,4814,0,0.00,0.00,0.00,0.00
125,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-1746,4164,0,1746,0,0.00,0.00,0.00,0.00
125,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-746,3459,0,746,0,0.00,0.00,0.00,0.00
126,3,8,3,False,2024-08-17T14:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,14,11.8,6.1,2.0,2.0,50,0,2263,0,0,1,0.00,0.01,0.01,0.45
126,13,14,2,True,2024-08-24T11:30:00Z,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,5.0,12.8,4.0,2.2,50,309,3821,757,448,1,0.00,0.19,0.19,1.43
126,21,1,2,False,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,13,12.6,18.3,25.0,5.6,50,86,4326,903,817,1,0.20,0.14,0.34,2.08
126,33,10,2,True,2024-09-14T14:00:00Z,0,0,4,66,0,0,1,0,0,0,0,1,0,0,0,10,11.4,20.1,0.0,3.2,50,1554,6543,2785,1231,1,0.00,0.11,0.11,0.21
127,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1515,0,0,0,0.00,0.00,0.00,0.00
127,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-665,830,0,665,0,0.00,0.00,0.00,0.00
127,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-210,644,0,210,0,0.00,0.00,0.00,0.00
127,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-105,543,0,105,0,0.00,0.00,0.00,0.00
128,3,8,0,False,2024-08-17T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,9855,0,0,0,0.00,0.00,0.00,0.00
128,13,14,0,True,2024-08-24T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1351,10586,322,1673,0,0.00,0.00,0.00,0.00
128,21,1,0,False,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1166,10160,433,1599,0,0.00,0.00,0.00,0.00
128,33,10,0,True,2024-09-14T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-170,10550,1081,1251,0,0.00,0.00,0.00,0.00
129,3,8,2,False,2024-08-17T14:00:00Z,0,3,1,81,0,0,1,0,0,0,0,0,0,0,0,9,5.0,10.8,7.0,2.3,55,0,1623770,0,0,1,0.03,0.02,0.05,0.45
129,13,14,8,True,2024-08-24T11:30:00Z,2,1,2,90,1,0,0,1,0,0,0,0,0,0,2,36,45.6,16.4,53.0,11.5,55,-60621,1655021,94118,154739,1,0.53,0.12,0.65,1.43
